lambda_um,ref,tran,emit,abs_silicon,emit_atm,ref_norm,emit_norm,abs_silicon_norm
14.57983,0.18635634,2.7755576e-17,0.81364366,0.031268154,1,0.18635634,0.81364366,0.031268154
14.59954,0.1884022,-2.7755576e-17,0.8115978,0.031713594,1,0.1884022,0.8115978,0.031713594
14.619249,0.19060977,-2.7755576e-17,0.80939023,0.032193682,1,0.19060977,0.80939023,0.032193682
14.638959,0.1928212,0,0.8071788,0.032674599,1,0.1928212,0.8071788,0.032674599
14.658669,0.19503262,2.7755576e-17,0.80496738,0.033155516,1,0.19503262,0.80496738,0.033155516
14.678378,0.19724405,5.5511151e-17,0.80275595,0.033636432,1,0.19724405,0.80275595,0.033636432
14.698088,0.19945548,5.5511151e-17,0.80054452,0.034117349,1,0.19945548,0.80054452,0.034117349
14.717798,0.2019321,-2.7755576e-17,0.7980679,0.034406584,1,0.2019321,0.7980679,0.034406584
14.737508,0.2044372,2.7755576e-17,0.7955628,0.034675227,1,0.2044372,0.7955628,0.034675227
14.757217,0.20694231,-2.7755576e-17,0.79305769,0.034943871,1,0.20694231,0.79305769,0.034943871
14.776927,0.20944741,2.7755576e-17,0.79055259,0.035212514,1,0.20944741,0.79055259,0.035212514
14.796637,0.21195252,-2.7755576e-17,0.78804748,0.035481157,1,0.21195252,0.78804748,0.035481157
14.816346,0.21408165,5.5511151e-17,0.78591835,0.035674444,1,0.21408165,0.78591835,0.035674444
14.836056,0.21613344,5.5511151e-17,0.78386656,0.035852226,1,0.21613344,0.78386656,0.035852226
14.855766,0.21818522,2.7755576e-17,0.78181478,0.036030007,1,0.21818522,0.78181478,0.036030007
14.875475,0.220237,8.3266727e-17,0.779763,0.036207789,1,0.220237,0.779763,0.036207789
14.895185,0.22228878,8.3266727e-17,0.77771122,0.03638557,1,0.22228878,0.77771122,0.03638557
14.914895,0.22428694,8.3266727e-17,0.77571306,0.0366061,1,0.22428694,0.77571306,0.0366061
14.934605,0.22626776,8.3266727e-17,0.77373224,0.036840449,1,0.22626776,0.77373224,0.036840449
14.954314,0.22824859,0,0.77175141,0.037074797,1,0.22824859,0.77175141,0.037074797
14.974024,0.23022941,5.5511151e-17,0.76977059,0.037309146,1,0.23022941,0.76977059,0.037309146
14.993734,0.23221024,2.7755576e-17,0.76778976,0.037543494,1,0.23221024,0.76778976,0.037543494
15.013443,0.23276606,8.3266727e-17,0.76723394,0.037911067,1,0.23276606,0.76723394,0.037911067
15.033153,0.23265766,2.7755576e-17,0.76734234,0.038340739,1,0.23265766,0.76734234,0.038340739
15.052863,0.23254925,8.3266727e-17,0.76745075,0.03877041,1,0.23254925,0.76745075,0.03877041
15.072573,0.23244085,2.7755576e-17,0.76755915,0.039200082,1,0.23244085,0.76755915,0.039200082
15.092282,0.23233245,-2.7755576e-17,0.76766755,0.039629754,1,0.23233245,0.76766755,0.039629754
15.111992,0.23227081,0,0.76772919,0.039974642,1,0.23227081,0.76772919,0.039974642
15.131702,0.23223928,-5.5511151e-17,0.76776072,0.040264966,1,0.23223928,0.76776072,0.040264966
15.151411,0.23220774,0,0.76779226,0.04055529,1,0.23220774,0.76779226,0.04055529
15.171121,0.23217621,-5.5511151e-17,0.76782379,0.040845614,1,0.23217621,0.76782379,0.040845614
15.190831,0.23214467,-1.110223e-16,0.76785533,0.041135938,1,0.23214467,0.76785533,0.041135938
15.210541,0.23217638,-5.5511151e-17,0.76782362,0.041360278,1,0.23217638,0.76782362,0.041360278
15.23025,0.2322631,-5.5511151e-17,0.7677369,0.04152722,1,0.2322631,0.7677369,0.04152722
15.24996,0.23234982,2.7755576e-17,0.76765018,0.041694161,1,0.23234982,0.76765018,0.041694161
15.26967,0.23243655,0,0.76756345,0.041861102,1,0.23243655,0.76756345,0.041861102
15.289379,0.23252327,8.3266727e-17,0.76747673,0.042028043,1,0.23252327,0.76747673,0.042028043
15.309089,0.23255,5.5511151e-17,0.76745,0.042198075,1,0.23255,0.76745,0.042198075
15.328799,0.23250664,0,0.76749336,0.042371717,1,0.23250664,0.76749336,0.042371717
15.348509,0.23246328,-2.7755576e-17,0.76753672,0.04254536,1,0.23246328,0.76753672,0.04254536
15.368218,0.23241992,2.7755576e-17,0.76758008,0.042719003,1,0.23241992,0.76758008,0.042719003
15.387928,0.23237656,0,0.76762344,0.042892645,1,0.23237656,0.76762344,0.042892645
15.407638,0.23234389,-2.7755576e-17,0.76765611,0.043065829,1,0.23234389,0.76765611,0.043065829
15.427347,0.23232812,-5.5511151e-17,0.76767188,0.043238289,1,0.23232812,0.76767188,0.043238289
15.447057,0.23231235,-8.3266727e-17,0.76768765,0.043410749,1,0.23231235,0.76768765,0.043410749
15.466767,0.23229659,0,0.76770341,0.043583209,1,0.23229659,0.76770341,0.043583209
15.486476,0.23228082,-2.7755576e-17,0.76771918,0.043755669,1,0.23228082,0.76771918,0.043755669
