0.97,0.036697,0.9633,9.8273e-05,0.0074468,0.0037557,0.94398,0.0080239
0.98,0.040877,0.95912,9.754e-05,0.007582,0.0036998,0.9351,0.012646
0.99,0.04663,0.95337,9.7107e-05,0.007214,0.0036682,0.92335,0.019042
1,0.057055,0.94295,9.7672e-05,0.0072917,0.0036723,0.90448,0.027401
1.01,0.078765,0.92124,9.9695e-05,0.0074453,0.0037155,0.87247,0.037507
1.02,0.10839,0.89161,0.00010356,0.0078331,0.0038671,0.83051,0.049302
1.03,0.14,0.86,0.00011432,0.008617,0.0042326,0.78264,0.06439
1.04,0.20779,0.79221,0.00013026,0.0092275,0.0046231,0.69848,0.079747
1.05,0.29735,0.70265,0.00014938,0.010212,0.0051273,0.5924,0.094763
1.06,0.37271,0.62729,0.0001811,0.011906,0.0058205,0.49704,0.11234
1.07,0.44385,0.55615,0.0001977,0.013383,0.0064727,0.41065,0.12545
1.08,0.51011,0.48989,0.00021629,0.015291,0.0068692,0.33589,0.13163
1.09,0.56413,0.43587,0.00023003,0.015953,0.0072599,0.27376,0.13866
1.1,0.6116,0.3884,0.00024745,0.016076,0.007659,0.21998,0.14443
1.11,0.65456,0.34544,0.00025437,0.016153,0.0080799,0.1733,0.14765
1.12,0.71173,0.28827,0.0002399,0.015686,0.0076411,0.12434,0.14037
1.13,0.7318,0.2682,0.00022255,0.01661,0.0080754,0.096216,0.14708
1.14,0.73749,0.26251,0.00024035,0.018842,0.0090853,0.074058,0.16028
1.15,0.78907,0.21093,0.00022994,0.017089,0.0078343,0.043503,0.14227
1.16,0.79043,0.20957,0.00023284,0.018298,0.0087535,0.028735,0.15355
1.17,0.80522,0.19478,0.00024394,0.019377,0.0082404,0.014676,0.15224
1.18,0.8181,0.1819,0.00023802,0.017973,0.0085989,0.0046133,0.15047
1.19,0.83524,0.16476,0.00022935,0.01809,0.0077288,0.0017745,0.13694
1.2,0.82077,0.17923,0.00023066,0.020016,0.0084462,0.0011688,0.14937
1.21,0.82068,0.17932,0.00022327,0.019498,0.0090439,0.00069405,0.14986
1.22,0.83969,0.16031,0.00021729,0.018062,0.007642,0.00036784,0.13402
1.23,0.84316,0.15684,0.00020959,0.017187,0.007761,0.00020465,0.13148
1.24,0.83789,0.16211,0.0002511,0.018939,0.0079332,0.00011191,0.13488
1.25,0.85128,0.14872,0.0002171,0.016574,0.0073315,4.276e-05,0.12455
1.26,0.85012,0.14988,0.00020856,0.017298,0.0075316,1.7154e-05,0.12482
1.27,0.84687,0.15313,0.00022339,0.017942,0.0075671,9.6012e-06,0.12738
1.28,0.86287,0.13713,0.00019893,0.016092,0.006908,5.1198e-06,0.11392
1.29,0.85725,0.14275,0.00021208,0.017971,0.0070842,3.1415e-06,0.11748
1.3,0.85584,0.14416,0.00021925,0.017504,0.0073635,1.9657e-06,0.11908
