0.332955	0.80066
0.347824	0.82069
0.359849	0.84693
0.370937	0.87317
0.382962	0.89942
0.396874	0.92318
0.419366	0.91955
0.437051	0.93834
0.454735	0.95713
0.477171	0.96348
0.497714	0.97355
0.511626	0.99731
0.533147	0.99992
0.55378	0.99378
0.576252	0.9939
0.599652	0.99526
0.622144	0.99163
0.644595	0.99548
0.668002	0.9956
0.68865	0.98698
0.712058	0.98709
0.735465	0.98721
0.758852	0.99107
0.78038	0.99242
0.802816	0.99877
0.825273	1.00137
0.847723	1.00523
0.870209	1.00284
0.891793	0.99422
0.913377	0.9856
0.935883	0.97948
0.95644	0.98706
0.973307	0.98465
0.987492	0.95979
1.005366	0.94491
1.025119	0.9288
1.042078	0.91018
1.062732	0.90031
1.068434	0.88538
1.076086	0.85674
1.081872	0.82684
1.085785	0.79694
1.089698	0.76703
1.097385	0.73216
1.103227	0.69229
1.111025	0.63746
1.113192	0.5851
1.119062	0.54024
1.119328	0.49286
1.125198	0.44801
1.127281	0.41061
1.133137	0.36825
1.138993	0.32588
1.142893	0.29847
1.148861	0.23615
1.154703	0.19628
1.164346	0.14646
1.179537	0.10912
1.189124	0.06927
1.200556	0.03442
