lambda_um,n,k
3.11968,3.43504,6.1e-07
3.134547,3.434913,6.2e-07
3.149415,3.434785,6.3e-07
3.164282,3.434657,6.3e-07
3.17915,3.434529,6.4e-07
3.194017,3.434402,6.5e-07
3.208884,3.434274,6.6e-07
3.223752,3.434146,6.7e-07
3.238619,3.434018,6.8e-07
3.253487,3.43389,6.9e-07
3.268354,3.433763,7e-07
3.283222,3.433635,7.1e-07
3.298089,3.433507,7.2e-07
3.312956,3.433395,7.3e-07
3.327824,3.433292,7.4e-07
3.342691,3.433188,7.5e-07
3.357559,3.433085,7.6e-07
3.372426,3.432982,7.7e-07
3.387294,3.432879,7.8e-07
3.402161,3.432775,7.9e-07
3.417029,3.432672,8e-07
3.431896,3.432562,8.1e-07
3.446763,3.432452,8.2e-07
3.461631,3.432342,8.3e-07
3.476498,3.432232,8.4e-07
3.491366,3.432122,8.5e-07
3.506233,3.432057,8.6e-07
3.521101,3.432057,8.7e-07
3.535968,3.432057,8.9e-07
3.550835,3.432056,9e-07
3.565703,3.432056,9.1e-07
3.58057,3.432056,9.2e-07
3.595438,3.432055,9.3e-07
3.610305,3.432055,9.5e-07
3.625173,3.432055,9.6e-07
3.64004,3.432054,9.7e-07
3.654907,3.432054,9.8e-07
3.669775,3.432053,9.9e-07
3.684642,3.432053,1.01e-06
3.69951,3.432053,1.02e-06
3.714377,3.432052,1.03e-06
3.729245,3.432052,1.05e-06
3.744112,3.432051,1.06e-06
3.758979,3.432051,1.07e-06
3.773847,3.432051,1.08e-06
3.788714,3.43205,1.1e-06
3.803582,3.432002,1.11e-06
3.818449,3.4318,1.12e-06
3.833317,3.431599,1.14e-06
3.848184,3.431398,1.15e-06
3.863052,3.431197,1.16e-06
3.877919,3.430996,1.18e-06
3.892786,3.430795,1.19e-06
3.907654,3.430594,1.2e-06
3.922521,3.430393,1.22e-06
3.937389,3.430192,1.23e-06
3.952256,3.42999,1.25e-06
3.967124,3.429789,1.26e-06
3.981991,3.429588,1.27e-06
3.996858,3.429387,1.29e-06
4.011726,3.429306,1.3e-06
4.026593,3.429256,1.32e-06
4.041461,3.429207,1.34e-06
4.056328,3.429157,1.36e-06
4.071196,3.429108,1.37e-06
4.086063,3.429058,1.39e-06
4.10093,3.429009,1.41e-06
4.115798,3.428959,1.43e-06
4.130665,3.42891,1.44e-06
4.145533,3.42886,1.46e-06
4.1604,3.428811,1.48e-06
4.175268,3.428761,1.5e-06
4.190135,3.428712,1.52e-06
4.205003,3.428662,1.54e-06
4.21987,3.428613,1.55e-06
4.234737,3.428563,1.57e-06
4.249605,3.428514,1.59e-06
4.264472,3.428464,1.61e-06
4.27934,3.428415,1.63e-06
4.294207,3.428365,1.65e-06
4.309075,3.428316,1.67e-06
4.323942,3.428266,1.69e-06
4.338809,3.428217,1.71e-06
4.353677,3.428167,1.73e-06
4.368544,3.428118,1.75e-06
4.383412,3.428068,1.77e-06
4.398279,3.428019,1.79e-06
4.413147,3.427969,1.81e-06
4.428014,3.42792,1.83e-06
4.442881,3.42787,1.85e-06
4.457749,3.427821,1.87e-06
4.472616,3.427771,1.89e-06
4.487484,3.427722,1.91e-06
4.502351,3.427672,1.93e-06
4.517219,3.427622,1.95e-06
4.532086,3.427573,1.97e-06
4.546953,3.427523,1.99e-06
4.561821,3.427474,2.01e-06
4.576688,3.427424,2.04e-06
4.591556,3.427375,2.06e-06
4.606423,3.427325,2.08e-06
4.621291,3.427276,2.1e-06
4.636158,3.427226,2.12e-06
4.651026,3.427177,2.14e-06
4.665893,3.427127,2.17e-06
4.68076,3.427078,2.19e-06
4.695628,3.427028,2.21e-06
4.710495,3.426978,2.23e-06
4.725363,3.426929,2.26e-06
4.74023,3.426879,2.28e-06
4.755098,3.42683,2.3e-06
4.769965,3.42678,2.32e-06
4.784832,3.426731,2.35e-06
4.7997,3.426681,2.37e-06
4.814567,3.426632,2.39e-06
4.829435,3.426582,2.42e-06
4.844302,3.426532,2.44e-06
4.85917,3.426483,2.47e-06
4.874037,3.426433,2.49e-06
4.888904,3.426384,2.51e-06
4.903772,3.426334,2.54e-06
4.918639,3.426285,2.56e-06
4.933507,3.426235,2.59e-06
4.948374,3.426186,2.61e-06
4.963242,3.426136,2.64e-06
4.978109,3.426086,2.66e-06
4.992976,3.426037,2.68e-06
5.007844,3.426013,2.71e-06
5.022711,3.426013,2.75e-06
5.037579,3.426012,2.78e-06
5.052446,3.426012,2.81e-06
5.067314,3.426011,2.84e-06
5.082181,3.42601,2.88e-06
5.097049,3.42601,2.91e-06
5.111916,3.426009,2.94e-06
5.126783,3.426009,2.97e-06
5.141651,3.426008,3e-06
5.156518,3.426008,3.02e-06
5.171386,3.426007,3.05e-06
5.186253,3.426007,3.08e-06
5.201121,3.426006,3.1e-06
5.215988,3.426006,3.13e-06
5.230855,3.426005,3.15e-06
5.245723,3.426005,3.18e-06
5.26059,3.426004,3.21e-06
5.275458,3.426004,3.23e-06
5.290325,3.426003,3.26e-06
5.305193,3.426002,3.29e-06
5.32006,3.426002,3.32e-06
5.334927,3.426001,3.35e-06
5.349795,3.426001,3.37e-06
5.364662,3.426,3.4e-06
5.37953,3.426,3.43e-06
5.394397,3.425999,3.46e-06
5.409265,3.425999,3.49e-06
5.424132,3.425998,3.52e-06
5.438999,3.425997,3.56e-06
5.453867,3.425997,3.59e-06
5.468734,3.425996,3.62e-06
5.483602,3.425996,3.66e-06
5.498469,3.425995,3.69e-06
5.513337,3.425995,3.72e-06
5.528204,3.425994,3.76e-06
5.543072,3.425994,3.79e-06
5.557939,3.425993,3.82e-06
5.572806,3.425992,3.85e-06
5.587674,3.425992,3.88e-06
5.602541,3.425991,3.91e-06
5.617409,3.425991,3.94e-06
5.632276,3.42599,3.97e-06
5.647144,3.42599,4e-06
5.662011,3.425989,4.03e-06
5.676878,3.425988,4.06e-06
5.691746,3.425988,4.09e-06
5.706613,3.425987,4.12e-06
5.721481,3.425987,4.15e-06
5.736348,3.425986,4.18e-06
5.751216,3.425985,4.21e-06
5.766083,3.425985,4.24e-06
5.78095,3.425984,4.27e-06
5.795818,3.425984,4.3e-06
5.810685,3.425983,4.33e-06
5.825553,3.425982,4.36e-06
5.84042,3.425982,4.39e-06
5.855288,3.425981,4.42e-06
5.870155,3.425981,4.46e-06
5.885023,3.425931,4.49e-06
5.89989,3.425691,4.52e-06
5.914757,3.425451,4.55e-06
5.929625,3.425211,4.58e-06
5.944492,3.424971,4.61e-06
5.95936,3.424731,4.65e-06
5.974227,3.424491,4.68e-06
5.989095,3.424251,4.71e-06
6.003962,3.424075,4.75e-06
6.018829,3.424074,4.82e-06
6.033697,3.424074,4.89e-06
6.048564,3.424073,4.96e-06
6.063432,3.424073,5.02e-06
6.078299,3.424072,5.08e-06
6.093167,3.424071,5.13e-06
6.108034,3.424071,5.19e-06
6.122901,3.42407,5.24e-06
6.137769,3.424069,5.3e-06
6.152636,3.424069,5.36e-06
6.167504,3.424068,5.41e-06
6.182371,3.424068,5.47e-06
6.197239,3.424067,5.52e-06
6.212106,3.424066,5.58e-06
6.226973,3.424066,5.64e-06
6.241841,3.424065,5.69e-06
6.256708,3.424064,5.77e-06
6.271576,3.424064,5.87e-06
6.286443,3.424063,5.97e-06
6.301311,3.424062,6.07e-06
6.316178,3.424062,6.17e-06
6.331046,3.424061,6.28e-06
6.345913,3.42406,6.38e-06
6.36078,3.42406,6.48e-06
6.375648,3.424059,6.58e-06
6.390515,3.424058,6.68e-06
6.405383,3.424058,6.78e-06
6.42025,3.424057,6.89e-06
6.435118,3.424056,6.99e-06
6.449985,3.424056,7.09e-06
6.464852,3.424055,7.19e-06
6.47972,3.424054,7.29e-06
6.494587,3.424054,7.4e-06
6.509455,3.424053,7.5e-06
6.524322,3.424052,7.6e-06
6.53919,3.424052,7.7e-06
6.554057,3.424051,7.8e-06
6.568924,3.42405,7.9e-06
6.583792,3.42405,8.01e-06
6.598659,3.424049,8.11e-06
6.613527,3.424048,8.21e-06
6.628394,3.424048,8.31e-06
6.643262,3.424047,8.42e-06
6.658129,3.424046,8.52e-06
6.672996,3.424046,9.17e-06
6.687864,3.424045,1.062e-05
6.702731,3.424044,1.207e-05
6.717599,3.424044,1.352e-05
6.732466,3.424043,1.497e-05
6.747334,3.424042,1.643e-05
6.762201,3.424042,1.788e-05
6.777069,3.424041,1.933e-05
6.791936,3.42404,2.078e-05
6.806803,3.424039,2.224e-05
6.821671,3.424039,2.369e-05
6.836538,3.424038,2.514e-05
6.851406,3.424037,2.66e-05
6.866273,3.424037,2.805e-05
6.881141,3.424036,2.95e-05
6.896008,3.424035,3.096e-05
6.910875,3.423886,3.11e-05
6.925743,3.423727,3.114e-05
6.94061,3.423567,3.118e-05
6.955478,3.423408,3.122e-05
6.970345,3.423248,3.127e-05
6.985213,3.423089,3.131e-05
7.00008,3.42293,3.135e-05
7.014947,3.422929,3.059e-05
7.029815,3.422929,2.984e-05
7.044682,3.422928,2.908e-05
7.05955,3.422927,2.832e-05
7.074417,3.422927,2.757e-05
7.089285,3.422926,2.681e-05
7.104152,3.422925,2.606e-05
7.11902,3.422924,2.53e-05
7.133887,3.422924,2.455e-05
7.148754,3.422923,2.409e-05
7.163622,3.422922,2.41e-05
7.178489,3.422921,2.411e-05
7.193357,3.422921,2.412e-05
7.208224,3.42292,2.414e-05
7.223092,3.422919,2.415e-05
7.237959,3.422918,2.416e-05
7.252826,3.422918,2.417e-05
7.267694,3.422917,2.419e-05
7.282561,3.422916,2.42e-05
7.297429,3.422915,2.421e-05
7.312296,3.422915,2.423e-05
7.327164,3.422914,2.424e-05
7.342031,3.422913,2.426e-05
7.356898,3.422912,2.427e-05
7.371766,3.422912,2.428e-05
7.386633,3.422911,2.43e-05
