lambda_um,n,k
1.609218,1.52045,0.00154
1.647295,1.52045,0.00154
1.685371,1.52045,0.00154
1.723447,1.52045,0.00154
1.761523,1.52045,0.001552
1.799599,1.52045,0.001682
1.837675,1.52045,0.001487
1.875752,1.52045,0.00146
1.913828,1.52045,0.00154
1.951904,1.52045,0.00154
1.98998,1.52045,0.00154
2.028056,1.519496,0.00154
2.066132,1.518765,0.00154
2.104208,1.51833,0.00154
2.142285,1.51833,0.00154
2.180361,1.51833,0.00154
2.218437,1.51833,0.00154
2.256513,1.51833,0.00154
2.294589,1.51833,0.00154
2.332665,1.51833,0.00154
2.370741,1.51833,0.00154
2.408818,1.51833,0.00154
2.446894,1.51833,0.00154
2.48497,1.51833,0.00154
2.523046,1.51833,0.00154
2.561122,1.51833,0.00154
2.599198,1.51833,0.00154
2.637275,1.51833,0.00154
2.675351,1.51833,0.00154
2.713427,1.51833,0.00154
2.751503,1.51833,0.00154
2.789579,1.51833,0.00154
2.827655,1.518733,0.00154
2.865731,1.519277,0.00154
2.903808,1.51939,0.00154
2.941884,1.51939,0.00154
2.97996,1.51939,0.00154
3.018036,1.51939,0.00154
3.056112,1.51939,0.00154
3.094188,1.51939,0.00154
3.132265,1.51939,0.00154
3.170341,1.51939,0.00154
3.208417,1.519205,0.00154
3.246493,1.518809,0.00154
3.284569,1.518491,0.00154
3.322645,1.518412,0.001627
3.360721,1.518333,0.001762
3.398798,1.51833,0.001804
3.436874,1.51833,0.001673
3.47495,1.517906,0.001542
3.513026,1.517228,0.001349
3.551102,1.51655,0.001155
3.589178,1.516452,0.00107
3.627255,1.51642,0.00107
3.665331,1.516389,0.001075
3.703407,1.516357,0.00115
3.741483,1.516326,0.001224
3.779559,1.516295,0.001333
3.817635,1.516263,0.001474
3.855711,1.516232,0.001615
3.893788,1.5162,0.00163
3.931864,1.516169,0.00163
3.96994,1.516137,0.00163
4.008016,1.516106,0.00163
4.046092,1.516075,0.00163
4.084168,1.516043,0.00163
4.122244,1.516012,0.00163
4.160321,1.51598,0.00163
4.198397,1.515949,0.00163
4.236473,1.515917,0.00163
4.274549,1.515886,0.00163
4.312625,1.515854,0.00163
4.350701,1.515823,0.00163
4.388778,1.515792,0.00163
4.426854,1.51576,0.00163
4.46493,1.515729,0.00163
4.503006,1.515697,0.00163
4.541082,1.515666,0.00163
4.579158,1.515634,0.00163
4.617234,1.515603,0.00163
4.655311,1.515571,0.00163
4.693387,1.51554,0.00163
4.731463,1.515509,0.00163
4.769539,1.515477,0.00163
4.807615,1.515446,0.00163
4.845691,1.515414,0.00163
4.883768,1.515383,0.00163
4.921844,1.515351,0.00163
4.95992,1.51532,0.00163
4.997996,1.515288,0.00163
5.036072,1.515257,0.00163
5.074148,1.515226,0.00163
5.112224,1.515194,0.00163
5.150301,1.515163,0.00163
5.188377,1.515131,0.00163
5.226453,1.5151,0.00163
5.264529,1.515068,0.00163
5.302605,1.515037,0.00163
5.340681,1.515005,0.00163
5.378758,1.514974,0.00163
5.416834,1.514943,0.00163
5.45491,1.514911,0.00163
5.492986,1.51488,0.00163
5.531062,1.514848,0.00163
5.569138,1.514817,0.00163
5.607214,1.514785,0.00163
5.645291,1.514678,0.00163
5.683367,1.514497,0.00163
5.721443,1.514316,0.001633
5.759519,1.514136,0.001679
5.797595,1.513955,0.001726
5.835671,1.513774,0.001772
5.873747,1.513594,0.001818
5.911824,1.513413,0.001864
5.9499,1.513233,0.001911
5.987976,1.513052,0.001957
6.026052,1.512871,0.002003
6.064128,1.512691,0.002049
6.102204,1.51251,0.002096
6.140281,1.512329,0.002142
6.178357,1.512149,0.002188
6.216433,1.511968,0.002234
6.254509,1.511787,0.002281
6.292585,1.511607,0.002327
6.330661,1.511426,0.002373
6.368737,1.511246,0.002419
6.406814,1.511065,0.002466
6.44489,1.510884,0.002512
6.482966,1.510704,0.002558
6.521042,1.510523,0.002604
6.559118,1.510342,0.002651
6.597194,1.510162,0.002697
6.635271,1.509981,0.002743
6.673347,1.509801,0.002709
6.711423,1.509624,0.002629
6.749499,1.509461,0.002548
6.787575,1.509297,0.002468
6.825651,1.509134,0.002387
6.863727,1.508971,0.002307
6.901804,1.508808,0.002226
6.93988,1.508644,0.002146
6.977956,1.508481,0.002065
7.016032,1.508318,0.001985
7.054108,1.508154,0.001905
7.092184,1.507991,0.001824
7.130261,1.507828,0.001744
7.168337,1.507665,0.001663
7.206413,1.507501,0.001583
7.244489,1.507338,0.001502
7.282565,1.507175,0.001422
7.320641,1.507012,0.001341
7.358717,1.506848,0.001261
7.396794,1.506685,0.001181
7.43487,1.506522,0.0011
7.472946,1.506359,0.001074
7.511022,1.506451,0.001079
7.549098,1.507052,0.001085
7.587174,1.507652,0.001091
7.625251,1.508253,0.001097
7.663327,1.508853,0.001103
7.701403,1.509454,0.001108
7.739479,1.510055,0.001114
7.777555,1.510655,0.00112
7.815631,1.511256,0.001126
7.853707,1.511856,0.001132
7.891784,1.512457,0.001137
7.92986,1.513058,0.001143
7.967936,1.51272,0.001149
8.006012,1.512363,0.001155
8.044088,1.512006,0.001161
8.082164,1.511649,0.001166
8.12024,1.511292,0.001172
8.158317,1.510935,0.001178
8.196393,1.510578,0.001184
8.234469,1.510221,0.00119
8.272545,1.509863,0.001085
8.310621,1.509506,0.000974
8.348697,1.509149,0.000863
8.386774,1.508792,0.000751
8.42485,1.508435,0.00064
8.462926,1.508078,0.000614
8.501002,1.50737,0.000627
8.539078,1.506467,0.00064
8.577154,1.505564,0.000653
8.61523,1.504661,0.000666
8.653307,1.503758,0.000678
8.691383,1.502855,0.000691
8.729459,1.501952,0.000704
8.767535,1.501048,0.000717
8.805611,1.500145,0.00073
8.843687,1.499242,0.002183
8.881764,1.498339,0.005149
8.91984,1.497436,0.008114
8.957916,1.496195,0.009956
8.995992,1.494006,0.00686
9.034068,1.491818,0.003763
9.072144,1.489629,0.005729
9.11022,1.48744,0.010496
9.148297,1.491692,0.015151
9.186373,1.496929,0.016632
9.224449,1.502017,0.018114
9.262525,1.506961,0.019595
9.300601,1.511905,0.021077
9.338677,1.516849,0.022558
9.376754,1.521793,0.021427
9.41483,1.526737,0.019323
9.452906,1.527845,0.017219
9.490982,1.526788,0.015115
9.529058,1.525732,0.013011
9.567134,1.524676,0.010908
9.60521,1.523619,0.008804
9.643287,1.522563,0.0067
9.681363,1.521507,0.004596
9.719439,1.52045,0.002492
9.757515,1.519394,0.001101
9.795591,1.518338,0.001195
9.833667,1.517282,0.001289
9.871743,1.516225,0.001383
9.90982,1.515169,0.001478
9.947896,1.514474,0.001572
9.985972,1.514,0.001666
10.024048,1.513525,0.00176
10.062124,1.51305,0.001855
10.1002,1.512575,0.001949
10.138277,1.5121,0.002043
10.176353,1.511625,0.002137
10.214429,1.51115,0.002232
10.252505,1.510676,0.002326
10.290581,1.510201,0.00242
10.328657,1.509726,0.002514
10.366733,1.509251,0.002608
10.40481,1.508776,0.002703
10.442886,1.508301,0.00276
10.480962,1.507826,0.00276
10.519038,1.507352,0.00276
10.557114,1.506877,0.00276
10.59519,1.506402,0.00276
10.633267,1.506068,0.00276
10.671343,1.505801,0.002588
10.709419,1.505533,0.002408
10.747495,1.505266,0.002227
10.785571,1.504998,0.002047
10.823647,1.504731,0.001867
10.861723,1.504464,0.001687
10.8998,1.504196,0.001506
10.937876,1.503929,0.001326
10.975952,1.503661,0.001146
11.014028,1.503394,0.000966
11.052104,1.503126,0.000785
11.09018,1.502859,0.000605
11.128257,1.502592,0.000512
11.166333,1.502324,0.000512
11.204409,1.502057,0.000512
11.242485,1.501789,0.000512
11.280561,1.501522,0.000512
11.318637,1.501254,0.000512
11.356713,1.500987,0.000512
11.39479,1.50072,0.000512
11.432866,1.500452,0.000512
11.470942,1.500185,0.000512
11.509018,1.499917,0.000512
11.547094,1.49965,0.000512
11.58517,1.499317,0.000512
11.623246,1.49868,0.000512
11.661323,1.498043,0.000512
11.699399,1.497406,0.000512
11.737475,1.496769,0.000512
11.775551,1.496132,0.000512
11.813627,1.495495,0.000512
11.851703,1.494858,0.000512
11.88978,1.494221,0.000512
11.927856,1.493584,0.000512
11.965932,1.492946,0.000512
12.004008,1.492309,0.000512
12.042084,1.491672,0.000512
12.08016,1.491035,0.000512
12.118236,1.490398,0.000512
12.156313,1.489761,0.000512
12.194389,1.489124,0.000512
12.232465,1.488487,0.000512
12.270541,1.487842,0.000512
12.308617,1.487143,0.000512
12.346693,1.486445,0.000534
12.38477,1.485746,0.000632
12.422846,1.485047,0.00073
12.460922,1.484348,0.000827
12.498998,1.483649,0.000925
12.537074,1.48295,0.001023
12.57515,1.481852,0.001065
12.613226,1.480645,0.001054
12.651303,1.479438,0.001044
12.689379,1.478231,0.001034
12.727455,1.477025,0.001023
12.765531,1.475818,0.001013
12.803607,1.474611,0.001003
12.841683,1.473404,0.000992
12.87976,1.471357,0.000982
12.917836,1.469086,0.002659
12.955912,1.466814,0.004875
12.993988,1.464542,0.007092
13.032064,1.462271,0.009309
13.07014,1.459999,0.011526
13.108216,1.456854,0.013743
13.146293,1.451119,0.01596
13.184369,1.445383,0.018177
13.222445,1.439295,0.020394
13.260521,1.429536,0.02261
13.298597,1.414964,0.024827
13.336673,1.397825,0.027044
13.374749,1.380685,0.029261
13.412826,1.363545,0.031478
13.450902,1.418872,0.039472
13.488978,1.464585,0.055691
13.527054,1.510299,0.07191
13.56513,1.556013,0.088128
13.603206,1.603137,0.104347
13.641283,1.606291,0.09981
13.679359,1.559778,0.088629
13.717435,1.552806,0.077448
13.755511,1.545834,0.066219
13.793587,1.538863,0.054962
13.831663,1.531489,0.043704
13.869739,1.523998,0.032447
13.907816,1.518307,0.021189
13.945892,1.513658,0.009932
13.983968,1.509009,0.00216
14.022044,1.505443,0.00418
14.06012,1.502388,0.0062
14.098196,1.499333,0.00822
14.136273,1.496278,0.010239
14.174349,1.493223,0.012259
14.212425,1.490058,0.012605
14.250501,1.486894,0.011604
14.288577,1.483729,0.010603
14.326653,1.480565,0.009603
14.364729,1.477249,0.008602
14.402806,1.473515,0.007601
14.440882,1.469781,0.0066
14.478958,1.466046,0.005599
14.517034,1.461479,0.004598
14.55511,1.456426,0.003597
14.593186,1.451372,0.002596
14.631263,1.446319,0.001983
14.669339,1.441266,0.010515
14.707415,1.440745,0.012897
14.745491,1.44747,0.015279
14.783567,1.449406,0.017661
14.821643,1.451341,0.030484
14.859719,1.453276,0.045663
14.897796,1.455212,0.03519
14.935872,1.457147,0.028973
14.973948,1.459083,0.029938
15.012024,1.461018,0.030904
15.0501,1.462953,0.03187
15.088176,1.464889,0.032835
15.126253,1.466824,0.033801
15.164329,1.468729,0.034766
15.202405,1.464484,0.035732
15.240481,1.46024,0.036698
15.278557,1.455995,0.041749
15.316633,1.45175,0.047508
15.354709,1.447505,0.047503
15.392786,1.441619,0.046024
15.430862,1.433099,0.044546
15.468938,1.424578,0.043068
15.507014,1.416057,0.04159
15.54509,1.395451,0.040112
15.583166,1.410075,0.062633
15.621242,1.424698,0.082605
15.659319,1.439322,0.063308
15.697395,1.453945,0.090772
15.735471,1.467226,0.103614
15.773547,1.472974,0.116455
15.811623,1.465679,0.129297
15.849699,1.458383,0.102019
15.887776,1.451088,0.100487
15.925852,1.443792,0.098954
15.963928,1.436497,0.097422
16.002004,1.44603,0.114607
16.04008,1.474271,0.132444
16.078156,1.511106,0.150281
16.116232,1.528451,0.168118
16.154309,1.545796,0.185956
16.192385,1.563141,0.203793
16.230461,1.580486,0.202326
16.268537,1.597831,0.179511
16.306613,1.609112,0.156696
16.344689,1.603421,0.133881
16.382766,1.597731,0.111683
16.420842,1.59204,0.095597
16.458918,1.58635,0.079511
16.496994,1.580659,0.082305
16.53507,1.574968,0.087599
16.573146,1.569278,0.092893
16.611222,1.563587,0.098187
16.649299,1.565576,0.103481
16.687375,1.569698,0.108775
16.725451,1.573819,0.114069
16.763527,1.577941,0.119363
16.801603,1.582063,0.124657
16.839679,1.586185,0.115767
16.877756,1.590836,0.105895
16.915832,1.596306,0.106497
16.953908,1.601777,0.112276
16.991984,1.606983,0.115341
17.03006,1.610822,0.114195
17.068136,1.614662,0.113049
17.106212,1.618501,0.111903
17.144289,1.622341,0.110757
17.182365,1.62618,0.106207
17.220441,1.63002,0.100816
17.258517,1.631788,0.095425
17.296593,1.628769,0.090033
17.334669,1.62575,0.082357
17.372745,1.622731,0.063085
17.410822,1.619712,0.053633
17.448898,1.616693,0.049115
17.486974,1.613673,0.044597
17.52505,1.607936,0.040078
17.563126,1.598838,0.03556
17.601202,1.593753,0.031821
17.639279,1.588668,0.033843
17.677355,1.58502,0.035866
17.715431,1.584596,0.037888
17.753507,1.584173,0.039911
17.791583,1.58375,0.041933
17.829659,1.583327,0.043956
17.867735,1.582904,0.045978
17.905812,1.58248,0.04675
17.943888,1.582057,0.047475
17.981964,1.583788,0.0482
18.02004,1.588267,0.048926
18.058116,1.592747,0.049651
18.096192,1.597227,0.050376
18.134269,1.601707,0.051102
18.172345,1.606187,0.05531
18.210421,1.610666,0.061016
18.248497,1.615146,0.066722
18.286573,1.619626,0.072428
18.324649,1.624106,0.078134
18.362725,1.628586,0.08384
18.400802,1.633065,0.089546
18.438878,1.633321,0.091057
18.476954,1.631648,0.0837
18.51503,1.629974,0.076343
18.553106,1.6283,0.068986
18.591182,1.626627,0.061629
18.629259,1.624953,0.054272
18.667335,1.62328,0.046915
18.705411,1.621606,0.039558
18.743487,1.619932,0.032201
18.781563,1.618259,0.024844
18.819639,1.616585,0.01974
18.857715,1.614912,0.01974
18.895792,1.613238,0.01974
18.933868,1.611564,0.01974
18.971944,1.609891,0.01974
19.01002,1.608217,0.01974
19.048096,1.606544,0.01974
19.086172,1.60487,0.01974
19.124248,1.603196,0.019887
19.162325,1.601523,0.020109
19.200401,1.599849,0.020331
19.238477,1.598176,0.020554
19.276553,1.596502,0.020776
19.314629,1.594828,0.020998
19.352705,1.593155,0.02122
19.390782,1.591481,0.021443
19.428858,1.589808,0.021665
19.466934,1.588134,0.021887
19.50501,1.586952,0.02211
19.543086,1.586294,0.022332
19.581162,1.585636,0.022554
19.619238,1.584978,0.022777
19.657315,1.584321,0.022999
19.695391,1.583663,0.023221
19.733467,1.583005,0.023444
19.771543,1.582347,0.023666
19.809619,1.581689,0.023888
19.847695,1.581032,0.024111
19.885772,1.580374,0.024333
19.923848,1.579722,0.024555
19.961924,1.579093,0.024778
20,1.578465,0.025
